username,location,tweet_text,created_at,retweets,likes,language
Ka_Meier,no_location,Neujahrsempfang bei d Was hngen bleibt der MP hatte am Bu u Bettag Besuch von einem freiberuflichen Vertreter d SachsenEnergie u d OB htte es eigentlich gut gefunden wenn d explodiert wre weil dann d schneller weg wre,2025-01-09 18:31:51+00:00,1,4,de
AntonLauner,Dresden,Die Geschehnisse des Tages in der Zusammenfassung,2025-01-09 15:02:52+00:00,0,0,de
Mr__Captcha,"Hennigsdorf, Deutschland",BerndFischel Da sie wohl britischen Ursprungs war Arthur Harris did it again,2025-01-09 12:16:38+00:00,0,0,de
IkbenHansie,"'t Gooi, Nederland 🇳🇱 🇪🇺 ",an in,2025-01-09 10:00:19+00:00,0,1,en
sladade,"Dresden, Sachsen",In Dresden standen gerade 14 Strassenbahnen zwischen dem Hauptbahnhof und der Lennstrasse im Stau,2025-01-09 09:22:45+00:00,2,22,de
QPark_DE,no_location,Fliegerbombe in Dresden ab 9 Uhr Entschrfung Bis 900 Uhr mssen alle Personen das Sperrgebiet verlassen Das Sperrgebiet betrifft ua alle drei QPark Objekte Altmarkt Frauenkirche Neumarkt Haus Postplatz Vielen Dank und bleibt sicher,2025-01-09 06:49:36+00:00,1,3,de
Lodenstwitt,Ore Mountains,Also ich frage mich schon wie die da hin gekommen ist bei der in niemand sonst Lag die in der oder im zur Das wird irgendwie gar nicht besprochen,2025-01-08 22:11:38+00:00,1,2,de
cyan_rk,100K km entfernt,Wie praktisch an der eingestrzten Bei Abbrucharbeiten wurde am Mittwoch eine gefunden,2025-01-08 18:51:27+00:00,2,1,de
PishnurgPumm,no_location,Schon wieder,2025-01-08 17:29:10+00:00,0,1,de
wyschilgod2019,no_location,an 10000 im betroffen 08 Januar 2025 1816 Uhr,2025-01-08 17:24:59+00:00,0,0,de
HeikeOlga,Niedersachsen emsland,Jetzt noch,2025-01-08 15:54:50+00:00,0,2,de
bahn_ecki,no_location,Das ist ein Radius von 1 km rund um die gefundene Bombe an der Carolabrcke der wahrscheinlich evakuiert werden muss ohne Gewhr,2025-01-08 14:23:29+00:00,0,8,de
jannikkel6,Berlin,bei Abrissarbeiten an in gefunden ber updayDE gesendet,2025-01-08 10:17:10+00:00,0,0,de
9Incide,Berlin,in fhren wie im mit zerstren Gebude beschieen Passanten greifen an DieGruenen BLOCKIEREN AUSWEISUNGEN untersttzen damit islamistischen Terror in VERURTEILEN ISRAEL,2025-01-04 08:06:32+00:00,0,0,de
pat4reason,"Hamburg, Deutschland",Wenn es die von X nicht gbe wrden Menschen glauben Elektroautos wrden derart explodieren auch ohne darin Welch ein Brendienst des ZDFheute am nur um Zwietracht zu sen Was ein Portal das ZDF doch ist Pfui,2025-01-03 15:27:42+00:00,0,0,de
lud_nrw,NRW / Germany,Die SALTED die die Welt beenden knnte,2025-01-03 14:34:34+00:00,0,1,de
HeinzK_Berlin,no_location,Offenbar auf in Laut Polizei ist am Donnerstag auf der Polizeistation in ein unbekannter Gegenstand explodiert 2 verletzt einer schwer Mehr Details werden nicht genannt,2025-01-03 08:55:29+00:00,0,0,de
