username,location,tweet_text,created_at,retweets,likes,language
KappaAlphaPhi,no_location,What really happened on at Port were fired Children were crying,2025-01-09 14:56:33+00:00,0,0,en
levlupde,"Göttingen, Deutschland",Immer eine gute Alternative,2025-01-09 13:57:00+00:00,0,3,de
NordischePost,Germany,Zwei Briefksten durch Feuerwerksraketen beschdigt Polizei sucht Zeugen,2025-01-09 10:00:49+00:00,0,0,de
UweJelting,Ostfriesland,Es wird immer absurder Bllerfhrerschein,2025-01-09 06:48:56+00:00,0,1,de
Ithiliya,"Niedersachsen, Deutschland",Eine Petition fr ein in ganz Deutschland,2025-01-08 22:00:24+00:00,0,2,de
PanamaPictures1,no_location,POV Linksautonome beschieen Polizisten am Tag der Rumung in Ltzerath mit Pyrotechnik Foto Christoph Hardt Panama Pictures,2025-01-08 21:32:02+00:00,0,0,de
thomas_hocke,"Berlin, Deutschland",Nach der Der irgendwie komische Herr Kommentar,2025-01-08 18:18:03+00:00,0,0,de
xSaxtoniX,Deutschland,Die Geschehnisse in Berlin zu Silvester noch mal in ein Video,2025-01-08 15:40:13+00:00,1,5,de
17Ziele,"Bonn, Deutschland",Silvester sorgt jhrlich fr Begeisterung aber ist es noch zeitgem knnen genauso schn sein wie klassische Raketen Auch nach nachhaltigen FeuerwerkAlternativen wird bereits geforscht,2025-01-08 14:45:38+00:00,0,0,de
6bot7Unimatrix,no_location,ArnoNymuski spaceloop23 bahngeschaedigt bzberlin LWojdowska Will dich nicht damit nerven oder spammen Aber ich habe die von jetzt soweit fertig Hier einfach fr dein Archiv Gruss,2025-01-08 13:32:02+00:00,0,0,de
PYRO_STAFF,no_location,Nico Bengalfeuer von Norma,2025-01-08 11:53:06+00:00,0,0,de
schoeneswetterc,no_location,Schlagzeilen 8 Januar 2025 Grne Trume Sind es jetzt schon 2 Millionen Befrworter fr ein Bllerverbot Das wir unkontrollierbaren Migranten zu verdanken haben Hat das Ganze einen weiteren Hintergrund Hat man Angst vor,2025-01-08 07:35:31+00:00,0,2,de
MacChillB,Berlin,will das der Staat alles regelt kein individuelles Recht auf mehr nur noch der Staat darf dann Feuerwerk machen SOZIALISMUS IST SCHEISSE,2025-01-08 06:18:17+00:00,0,0,de
Encilai,"Weyhe, Deutschland",Seit 31 Jahren zum ersten Mal bei diesem gesehen dass es Raketen auch ohne den Plastikstpsel gibt Warum war das nicht schon frher so Das spart Plastik und ist auch einfacher,2025-01-08 00:31:47+00:00,0,0,de
saschaboettcher,Heidelberg,New Years Fireworks in,2025-01-07 15:50:27+00:00,1,2,en
TomSchnee2,In der Nähe von Essen.,Er gehrt zu den Einsatzkrften und redet Klartext auch in Richtung politischer Entscheidungstrger An sind Einsatzkrfte von und Hilfsorganisationen massiv mit angegriffen worden,2025-01-07 15:43:04+00:00,0,0,de
Ole1047391,Latvia,Warum sollten Knallkrper verboten werden der Tiere beeintrchtigt,2025-01-07 13:31:11+00:00,0,0,de
NewsTicker360,Mein aktueller Linktipp ,Zur Vermeidung von mglichen politischen wre ein Verbot von wie und durchaus sinnvoll,2025-01-07 12:25:20+00:00,0,1,de
Sabeth_Pademira,Hamburg. Heimat: Heidelberg,Nein ich sehe darin Silvester bzw Bller Lrm Mll Gestank Betrunkene siehe bei sogen Volksvergngen keinen Spa schon gar keine Freude absolut nichts Wohltuendes Schnes Erfreuliches,2025-01-07 11:21:46+00:00,1,0,de
tsb426yvff,"Hessen, Deutschland",Vermutlich haben Frau Faeser und Herr Scholz den Bezug zum echten Leben verloren spdde,2025-01-07 09:27:17+00:00,0,0,de
KontraA64,no_location,Ich hoffe das das 20252026 verboten ist,2025-01-07 08:04:36+00:00,0,0,de
