username,location,tweet_text,created_at,retweets,likes,language
MiGAZIN,Germany,Polizei soll an rechtes Medium durchgestochen haben Ausschreitungen und BllerExzesse in der Silvesternacht sorgen jedes Jahr fr Diskussionen Diesmal sorgt sie bei der fr Unruhe Hier lesen,2025-01-09 20:00:00+00:00,0,1,de
M4xPeen,no_location,Welten zwischen und Schlimmster Datenleak seit der Bekanntgabe der Vornamen vom Sylter Sngerverein,2025-01-09 19:50:58+00:00,0,1,de
gabonn,Bonn,Die Polizeigewerkschaft fordert mit einer ein bundesweites Knapp 15 Millionen Menschen haben unterzeichnet Fr den Eitorfer Feuerwerkshersteller Weco htte das Folgen GA,2025-01-09 18:46:16+00:00,0,0,de
endthesealhunt,Germany,please RT EUwide ban on the sale of pyrotechnics for private purposes,2025-01-09 18:38:11+00:00,0,0,en
PeterSchwarz11,Beckingen/ Saar,ist seit anderthalb Wochen vorbei doch der politische Streit zndet erst jetzt so richtig In der Diskussion um ein positioniert sich nun die er greift bei der Gelegenheit den Regierenden Brgermeister Kai 52 an,2025-01-09 18:01:57+00:00,0,1,de
bellarocca21,berlin,es knallt seit stunden ich male bin allein mezzanotte knips ich nach gegenber es ist nicht viel zu sehen auf dem foto aber ich finde es stimmig,2025-01-09 16:49:04+00:00,0,1,de
DemokratieTroll,no_location,niusde Wir wissen jetzt dass zweidrittel der arabische oder trkische Namen haben Freiwillig htte die Polizei diese fr unser wichtige Erkenntnis ber die durch nicht rausgerckt um die Wirklichkeit zu vertuschen,2025-01-09 15:20:26+00:00,0,0,de
Einfach_Ela_,no_location,Einen besseren Beweis dass die Liste der Vornamen echt ist und dass man es vor der Bevlkerung lieber verbergen wollte dass die meisten deutschen Krawallmacher einen Migrationshintergrund haben kann es gar nicht geben,2025-01-09 14:57:48+00:00,0,0,de
KappaAlphaPhi,no_location,What really happened on at Port were fired Children were crying,2025-01-09 14:56:33+00:00,0,0,en
Dollfuss_,Ofra ,JochenAndru1981 Ein Beamter mit Charakter und Anstand Meine Meinung PS Natrlich wussten wir alle das es sich nicht um Deutsche gehandelt hat Aber wir sind dem dankbar,2025-01-09 14:22:00+00:00,0,2,de
kainsider,"Karlsruhe, Deutschland",Ein Silvester wie das vergangene braucht niemand mehr,2025-01-09 13:55:25+00:00,0,0,de
Herzblut16,no_location,Du suchst spannende Flirts oder den Partner frs Leben Dann bist Du bei Hits genau richtig Hier kannst du mit interessanten Leuten aus deiner Nhe Flirten Quatschen oder Daten Melde dich Schnen amp GUTEN GELINGEN in 2025 gtgt,2025-01-09 13:47:50+00:00,0,0,de
Peter_Ueck,Deutschland,nikschrader Thematisieren Sie lieber warum es diese nur Vornamen sind Halten Sie es zudem fr ein rechtes Vergehen,2025-01-09 12:39:11+00:00,0,0,de
MollersPaul,no_location,throeng GenuineBY BirgitKelle FraukePetry Dass es das gibt hat niemand abgestritten Aber Sie haben unter Birgit Kelles Post kommentiert in der Absicht abzulenken vom Problem Und das ist nicht nur Und in der Unterhaltung mit Ihnen wurde ua klar dass Sie einseitig die Deutschen verantwortlich machen,2025-01-09 11:52:33+00:00,0,1,de
KH82865104,Deutschland ,dg16593 BirgitKelle polizeiberlin Am 0301 habe ich mit einem Polizisten ber geredet und er hat genau diesen Satz gesagt den ich im ersten Post geschrieben habe Wir haben nicht ber Grnde geredet Er sagte noch in Berlin wre das normal was bei uns in Bayreuth unmglich wre,2025-01-09 11:36:30+00:00,0,0,de
Hajoax,no_location,Tagesspiegel Ich finde diese Liste interessant und aufschlussreichweil genau hier die namentlichenmigrantinischen Ursachen liegen und publiziert werden mssenInteressant auchKEINE asiatischen Migranten erkennbar,2025-01-09 11:24:40+00:00,0,2,de
SiSeidler,Berchtsgodn,nikschrader und dann muss man sich ja noch vor Augen halten dass es prozentual viel weniger Auslnder als Deutsche bei uns gibt die wiederum aber in der Statistik viel mehr Straftaten begehen Das kann man sich auch nicht mehr schnrechnen Auch keiner der,2025-01-09 11:21:53+00:00,0,1,de
tobiasteich_by,no_location,Nennt die Vornamen,2025-01-09 11:19:03+00:00,0,0,de
berlinerzeitung,"Berlin, Deutschland",Eine Silvesterrakete explodierte auf dem Balkon von des des Berliner Musikers Adam Harzuf Danach brannte seine Wohnung aus Er ist nicht versichert,2025-01-09 11:12:00+00:00,15,53,de
AndreasW1739623,no_location,niusde Wie weit ist man eigentlich bei der Polizei mit der Verfolgung der Beamten die interne Informationen zu bevorstehenden Hausdurchsuchungen vorzugsweise bei Regierungskritikern vorab illegalerweise an die Presse weitergeben Ich frage fr einen Freund,2025-01-09 11:09:00+00:00,0,0,de
MoosburgTV,Moosburg,Groe Silvesterparty Landshut Fotos Benni Diemer mehr auf Sieh dir diesen InstagramBeitrag von stefanjahnel an,2025-01-09 10:01:28+00:00,0,0,de
TARIX896309,no_location,Ja klar und bei Sylt sind alle Namen verffentlicht worden ihr wollt uns doch echt Verarschen,2025-01-09 10:00:44+00:00,0,0,de
von_palme,no_location,Jeder Berliner auch der komplett Grnverwahrloste wei wer den Straenterror jedes Jahr an verbreitet Die grnverwahrloste Politik jault kurz auf und das war es dann Leute geht whlen via welt,2025-01-09 09:18:34+00:00,0,2,de
Disputatorus,no_location,Dann sucht man sich eben einfach einen anderen Skandal Hauptsache es redet keiner mehr darber das grtenteils Migranten kaputt machen und es fr Rettungs und Sicherheitskrfte zur Hlle werden lassen,2025-01-09 08:48:13+00:00,0,0,de
KlartextRM,no_location,Immer wenn du denkst die Wahrheit siegt am Ende doch kommt irdendwo ein Systemling daher und macht jagt auf die welche der Wahrheit sprechen,2025-01-09 08:16:46+00:00,1,0,de
Weber_AfD,"Paderborn, Deutschland",Die meisten Silvesterjihadisten in Berlin hatten einen arabischen Vornamen Wie kommt das blo Ich dachte alle Menschen seien gleich Deutsche machten das doch auch und nur ein Bllerverbot knnte uns helfen,2025-01-09 08:10:21+00:00,0,0,de
KaleuDer,no_location,nikschrader So vorhersehbar Das Skandal sind natrlich nicht die Idioten die an in einen Kriegsgebiet verwandeln sondern wie immer bei Linken die Polizei polizeiberlin,2025-01-09 07:54:35+00:00,0,2,de
pommesfritz60,NRW,Natrlich hat wieder nix mit nix zu tun,2025-01-09 07:18:51+00:00,0,2,de
Witcher__77,Germany,nikschrader Vuelleicht hast Du wrtlich den Knall nicht gehrt Daher fliegt die Linke am 2302 aus dem BT,2025-01-09 07:14:52+00:00,0,2,de
steffan_nethe,"Hamburg, Deutschland",DrKissler Sie sollten in erstmal alle 40 der ohne dt Pass abschieben bevor wir sie fr immer an der Backe haben,2025-01-09 06:55:16+00:00,1,27,de
infos_unter,"Rostock, Deutschland",Polizei in Berlin ermittelt nach Verffentlichung von Vornamenliste,2025-01-09 06:52:44+00:00,0,0,de
UweJelting,Ostfriesland,Es wird immer absurder Bllerfhrerschein,2025-01-09 06:48:56+00:00,0,1,de
ndaktuell,Berlin,Der Rohrbruch an der Seestrae lie an in groen Teilen Berlins den Wasserdruck absacken bei Verkehrsteilnehmenden sorgt er nun fr Puls,2025-01-09 06:46:00+00:00,2,1,de
