username;location;tweet_text;created_at;retweets;likes;language;Foreigner
_FalkoS_;Pinneberg;VasiFranco Ich finde es sehr merkwrdig dem hier die Schuld in die Schuhe zu schieben Es kann nicht sein was nicht sein darf Benennen Sie Ross amp Reiter;06.01.25 14:35;0;0;de;NO
_Selbstdenker__;no_location;2 junge Frauen werden an von einer Horde bedrngt und versuchen zu flchten Hier live zu sehen Europa ist verloren Unsere Kinder wachsen in Angst auf;08.01.25 14:03;0;0;de;NO
17Ziele;Bonn;Silvester sorgt jhrlich fr Begeisterung aber ist es noch zeitgem knnen genauso schn sein wie klassische Raketen Auch nach nachhaltigen FeuerwerkAlternativen wird bereits geforscht;08.01.25 15:45;0;0;de;NO
1Osceola;no_location;BARMERAnalyse Silvesterunflle werden immer seltener;06.01.25 16:03;0;1;de;NO
26fatih;eşkişehir;The UAE Banks Federation and AIM Congress 2025 are joining forces to shape the future of banking and financial innovation;06.01.25 07:22;0;0;en;YES
612Mondkalb;no_location;Sie lügen wie gedruckt Doppelte Staatsbrgerschaft wird nie beachtet;08.01.25 12:36;0;0;de;NO
612Mondkalb;no_location;Nur ne Nacht wusste ich doch war dabei;05.01.25 00:12;0;0;de;NO
6bot7Unimatrix;no_location;ArnoNymuski spaceloop23 bahngeschaedigt bzberlin LWojdowska Will dich nicht damit nerven oder spammen Aber ich habe die von jetzt soweit fertig Hier einfach fr dein Archiv Gruss;08.01.25 14:32;0;0;de;NO
9Incide;Berlin;in fhren wie im mit zerstren Gebude beschieen Passanten greifen an DieGruenen BLOCKIEREN AUSWEISUNGEN untersttzen damit islamistischen Terror in VERURTEILEN ISRAEL;04.01.25 09:06;0;0;de;NO
a_lensen;no_location;amp Wissenschaft frdern die Gesundheit von und;09.01.25 15:17;0;0;de;NO
abigail_abiitha;no_location;Get ready for unparalleled coverage of AIM Congress 2025 thanks to our collaboration with WAM 2025;03.01.25 09:52;0;0;en;NO
aixrad;no_location;der Gewerkschaft der zum;05.01.25 10:57;0;0;de;NO
aktiennews_com;aktiennews_com;Sind wir wirklich Weltmeister im Krankmachen Studie zeigt berraschende Ursachen fr Rekordzahlen;09.01.25 16:00;0;0;de;NO
Aleonor_al;no_location;Fuball und Der Staat erlaubt Mnnern Aggressionen in der Gesellschaft auszuleben Doch die Quoten der huslichen Gewalt sinken nicht Versteht ihr Was wre wenn Frauen Demokratische Wahlen boykottieren wrden Hm Wie fndet ihr das Patrizier;03.01.25 12:03;0;0;de;NO
Anarchixel;no_location;Hier ein kurzes Video zum Thema Arthrose Viel Spa beim Ansehen;09.01.25 11:47;0;0;de;NO
andreas43452653;no_location;NancyFaeser Gibt es Zahlen zu bei denen Personen ohne vorhandene ohne Pass die deutsche Staatsangehrigkeit bekommen haben Ach bei einigen neuen Deutschen ist es mglich dass diese nach der Verleihung kriminell werden;08.01.25 21:51;0;0;de;NO
AndreasFiebig1;Ost;GdPHauptstadt dpa Tagesspiegel tagesschau ZDF FunkeBerlin WELTAMSONNTAG RTLcom sat1 berlinerzeitung SZ Deutschland kann wohl nur noch verbieten weil ihr die Stdte nicht unter Kontrolle bekommt Was ist das denn fr eine Demokratie Wir auf dem Lande feiern friedlich mit Und nebenbei 83 Millionen haben n i c h t fr ein gestimmt Eine echte Mehrheit;06.01.25 18:02;0;0;de;NO
AndreasMaisch;Berlin;Sinnvolle fr ein bundesweites Bllerverbot In der ChaotenStadt wre ein Bllerverbot sinnvoll stattdessen knnten die Bezirke professionelles ausrichten;05.01.25 10:03;0;1;de;NO
AndreasW1739623;no_location;niusde Wie weit ist man eigentlich bei der Polizei mit der Verfolgung der Beamten die interne Informationen zu bevorstehenden Hausdurchsuchungen vorzugsweise bei Regierungskritikern vorab illegalerweise an die Presse weitergeben Ich frage fr einen Freund;09.01.25 12:09;0;0;de;NO
AntonLauner;Dresden;Die Geschehnisse des Tages in der Zusammenfassung;09.01.25 16:02;0;0;de;NO
AOKNordWest;Dortmund;Vor Arbeitsbeginn zwischendurch oder nach Feierabend etwas fr die eigene den Geldbeutel und die tun Nach Abschluss der landesweiten Aktion zieht die ein positives Fazit fr;09.01.25 10:30;0;6;de;NO
ArkanumSolution;no_location;Rezept fr dauerhaftes krperliches geistiges und seelisches Wohlbefinden;09.01.25 16:39;0;0;de;NO
AsterixohneA;Deutschland;Hallo 2025 Canon 90D Canon EFS 18 135 mm Shutter 45 BULB o Stativ Blende 10 ISO 400;05.01.25 02:35;0;0;en;NO
Augustin67278;no_location;NoAFDBTW25 Doof ist dass die von dir naiv hofierten mit Migrationshintergrund die Problembren beim sind Indigene Jugendliche gibt es ja fast nicht mehr Das Problem sind nicht die die Messer oder Autos Das Problem sind die wie sie anonym genannt werden;03.01.25 22:11;0;0;de;NO
AviationDirect_;no_location;Studie warnt Nchtlicher Fluglrm erhht das Risiko fr HerzKreislaufErkrankungen und Schlafstrungen in;09.01.25 09:09;0;0;de;NO
Azadi77;🇩🇪;Nun sind vorbeiAber den hier vergesse ich niemals Was fr ein Psychopath Er zndete ein Bller in der Vagina seiner EX anwie krank muss ein Mensch seinum berhaupt auf so eine Idee zu kommen;08.01.25 15:04;0;7;de;NO
b_sappek;no_location;gegen ein wre nicht kontrollierbar Was fr ein Quatsch Wir haben ein gibt auch keinen igen Schutz aber es hilft 5 Tote zig Verletzte Seht hin schaut hin amp hrt zu amp wacht auf amp werden als eingesetzt;04.01.25 10:09;1;2;de;NO
bahn_ecki;no_location;Das ist ein Radius von 1 km rund um die gefundene Bombe an der Carolabrcke der wahrscheinlich evakuiert werden muss ohne Gewhr;08.01.25 15:23;0;8;de;NO
Baumpilot1;Schleswig-Holstein;Storchi MOstermann WAS spricht denn dagegen mal 1 2 o 4 Jahre Verkauf u Abbrennen v priv zu verbieten zentrale Veranstaltungen anzubieten mehr auf zu setzen und DANN zu ziehen Dann neu bewerten u entsprechend reagieren;06.01.25 23:42;0;1;de;NO
bellarocca21;berlin;es knallt seit stunden ich male bin allein mezzanotte knips ich nach gegenber es ist nicht viel zu sehen auf dem foto aber ich finde es stimmig;09.01.25 17:49;0;1;de;NO
BeobachterRat;Zürich;CBDProdukte mit Risiken Wiederverkauf in der Schweiz verboten;09.01.25 17:00;0;0;de;YES
berlinerzeitung;Berlin;Adipositas tdliche Prionenkrankheiten Hitzestress Mangelernhrung Forscher wollen vielfltige gesundheitliche Bedrohungen bekmpfen Diese elf klinischen Studien knnten 2025 die Medizin prgen;09.01.25 18:02;0;4;de;NO
berlinerzeitung;Berlin;Eine Silvesterrakete explodierte auf dem Balkon von des des Berliner Musikers Adam Harzuf Danach brannte seine Wohnung aus Er ist nicht versichert;09.01.25 12:12;15;53;de;NO
berlinerzeitung;Berlin;In der Silvesternacht wurden erneut Polizisten mit angegriffen und verletzt Eine fr ein erreichte ber eine Million Unterschriften;06.01.25 09:34;2;25;de;NO
