username,name,location,tweet_text,created_at,retweets,likes,language
Ka_Meier,Katja Meier,,"Neujahrsempfang bei d #SachsenEnergie.

Was hängen bleibt: der MP hatte am Buß- u Bettag Besuch von einem freiberuflichen Vertreter d SachsenEnergie u d OB hätte es eigentlich gut gefunden, wenn d #Bombe explodiert wäre, weil dann d #CarolaBrücke schneller weg wäre.
#unangemessen https://t.co/h4AcPZ2Y1T",2025-01-09 18:31:51+00:00,1,4,de
kikostars11,Kiko Sweetland,,Elle aussi la vendeuse mérite la peine de mort mr son excellence @ConstantMutamba  @JusticeGouvCD @comgenpnc doit traquer faire et mettre la pression sur les vendeurs de (#bombé) équivalent au fentynol qui tue et détruit le cerveau touts les grossistes doivent être arrêtés https://t.co/Lb9utDZX2Z,2025-01-09 17:48:04+00:00,0,1,fr
AntonLauner,Neustadt-Geflüster,Dresden,"Die Geschehnisse des Tages in der Zusammenfassung. 
https://t.co/GjxebW0Dnp
#dresdenneustadt #bombe #carolabrücke",2025-01-09 15:02:52+00:00,0,0,de
Mr__Captcha,"Cyber-Captcha🍓 6x BP, 1x Mod ☎️ 8866 📯","Hennigsdorf, Deutschland",@Bernd_Fischel Da sie wohl britischen Ursprungs war: Arthur Harris did it again: https://t.co/8jzgj285Sj #Dresden #Bombe,2025-01-09 12:16:38+00:00,0,0,de
IkbenHansie,Hansie,"'t Gooi, Nederland 🇳🇱 🇪🇺 ",#Bombe an #Carolabrücke in #Dresden. #FYI #WOII #WO2  https://t.co/Uwti5MMcyR,2025-01-09 10:00:19+00:00,0,1,en
AntonLauner,Neustadt-Geflüster,Dresden,"Die Innenstadt ist abgesperrt. Polizei kontrolliert die Evakuierung.
https://t.co/qgcUIO8iTS
#dresden #bombe",2025-01-09 09:31:41+00:00,0,0,de
sladade,Stefan Lüders,"Dresden, Sachsen","In Dresden standen gerade 14 Strassenbahnen zwischen dem Hauptbahnhof und der Lennéstrasse im Stau.
#Bombe #Dresden",2025-01-09 09:22:45+00:00,2,22,de
QPark_DE,Q-Park,,"❗️Fliegerbombe in Dresden: ab 9 Uhr Entschärfung ❗️Bis 9:00 Uhr müssen alle Personen das Sperrgebiet verlassen. Das Sperrgebiet betrifft u.a. alle drei Q-Park Objekte: Altmarkt, Frauenkirche / Neumarkt, Haus Postplatz. Vielen Dank und bleibt sicher! #qpark #dresden #bombe #parken https://t.co/HXlAOiZ2oO",2025-01-09 06:49:36+00:00,1,3,de
Lodenstwitt,∎∎∎∎∎∎ ∎∎∎∎∎,Ore Mountains,"Also ich frage mich schon, wie die #Bombe da hin gekommen ist bei der #Carolabrücke in #Dresden ... niemand sonst?
Lag die in der #Elbe oder im #Schüttgut zur #Baustellenstraße?? Das wird irgendwie gar nicht besprochen... https://t.co/FLwczfUFup",2025-01-08 22:11:38+00:00,1,2,de
cyan_rk,Cyan Radio RK ❌✌️,100K km entfernt,"Wie praktisch❗🤔
💥""#Alarm an der eingestürzten #Carolabrücke! 
Bei Abbrucharbeiten wurde am Mittwoch eine #Bombe gefunden.""
#Dresden https://t.co/sdeMPlsXov",2025-01-08 18:51:27+00:00,2,1,de
