username,name,location,tweet_text,created_at,retweets,likes,language
KappaAlphaPhi,KappaAlphaPhi,,"What really happened on #NewYear: #Islamist #terrorism at #Landungsbrücken - #Hamburg Port, #Germany. #Gunshots were fired. Children were crying.

#Silvester #Feuerwerk #Neujahr2025 #StPauli #Islam #Immigration #Moslem

https://t.co/X7E4GSjg8P",2025-01-09 14:56:33+00:00,0,0,en
levlupde,LevlUp,"Göttingen, Deutschland",Immer eine gute Alternative🥤💥 #Feuerwerk #boellerverbot https://t.co/27GfoESiYZ,2025-01-09 13:57:00+00:00,0,3,de
NordischePost,Ⓜ️ Nordische Post,Germany,"Zwei Briefkästen durch Feuerwerksraketen beschädigt – Polizei sucht Zeugen
https://t.co/Hlv1Z4KwZ4
#beschädigt #Briefkasten #durch #Feuerwerk #Feuerwerksraketen #Here’salistofcommaseparatedtagsbasedonthetitlePOLOLSachbeschädigungdurchSilvesterraketePOLOL #Neujahr #Polizei #Pol... https://t.co/YfcpVMQDIs",2025-01-09 10:00:49+00:00,0,0,de
UweJelting,Uwe Jelting 🎗️,Ostfriesland,Es wird immer absurder: Böllerführerschein. #Silvester #feuerwerk https://t.co/MFDCGqFQ9Y,2025-01-09 06:48:56+00:00,0,1,de
Ithiliya,🎄🎅🏻𝒞ℴ𝓊𝓃𝓉ℯ𝓈𝓈 ℐ𝓉𝒽𝒾𝓁𝒾𝓎𝒶🌟☃️,"Niedersachsen, Deutschland","https://t.co/Aby8IK8l6K
Eine Petition für ein #Boellerverbot in ganz Deutschland!
#Feuerwerk 
#Feuerwerksverbot",2025-01-08 22:00:24+00:00,0,2,de
PanamaPictures1,Panama Pictures,,"POV: Linksautonome beschießen Polizisten am Tag der Räumung in Lützerath mit Pyrotechnik.

Foto: Christoph Hardt / Panama Pictures

#pressebild #pressefoto #lützerath #lützibleibt #polizeinrw #polizisten #polizeidienst #pyrotechnik #feuerwerk https://t.co/N584ep70xy",2025-01-08 21:32:02+00:00,0,0,de
BadToxic,Michael Grönert,"Baden-Württemberg, Deutschland","#Fireworks #Kimono #Girl #2024 - #StableDiffusion #waiREALMIX Euler a #KlingAI.

#Firework #Feuerwerk #KimonoGirl #Japanese #Asian #NewYear #NewYears #NewYearsEve #temple #cherryBlossom #park #cherryBlossomPark #feast #fun #AIGirl #AIGirls #girls #AI #AIArt #Kunst #animation https://t.co/B9bPHYL6Dp https://t.co/lHYHA5TPhj",2025-01-08 20:31:29+00:00,1,9,fr
thomas_hocke,Der Wahlberliner,"Berlin, Deutschland","Nach der #Silvesternacht: Der irgendwie komische Herr #Scholz (Kommentar) #OlafScholz #SPD #tünkram #Silvester #Böllerverbot #Kugelbombe #Schöneberg #Berlin #Feuerwerk #Demokratie #btw25 #Bundestagswahl2025 #Bundestagswahlen #KleineresÜbel #CumCum #CumEx

https://t.co/OeX5hOiuc3",2025-01-08 18:18:03+00:00,0,0,de
xSaxtoniX,Deutscher Löwe,Deutschland,"Die Geschehnisse in Berlin zu Silvester noch mal in ein Video!
#Silvesternacht #Berlin #chaos #Feuerwerk #Deutschlandzuerst #böller https://t.co/0MlTKOwRcL",2025-01-08 15:40:13+00:00,1,5,de
17Ziele,17Ziele,"Bonn, Deutschland","Silvester #Feuerwerk sorgt jährlich für Begeisterung, aber ist es noch zeitgemäß? 🎆 #Drohnenshows können genauso schön sein wie klassische Raketen. Auch nach nachhaltigen Feuerwerk-Alternativen wird bereits geforscht. 👩‍🔬 👉 https://t.co/KD2xyCY3Su #17Ziele https://t.co/a4S3ztCsLi",2025-01-08 14:45:38+00:00,0,0,de
6bot7Unimatrix,6bot7 unimatrix 01,,"@ArnoNymuski @spaceloop23 @bahngeschaedigt @bzberlin @LWojdowska Will dich nicht damit nerven oder spammen. Aber ich habe die #Silvester-#Feuerwerk-Terror-Vornamensliste von #Berlin jetzt soweit fertig. Hier einfach für dein Archiv. Gruss
https://t.co/dNuv2VczBe",2025-01-08 13:32:02+00:00,0,0,de
PYRO_STAFF,PyroStaff,,Nico Bengalfeuer von Norma #norma #feuerwerk #feuerwerk2024 #feuerwerkvideo #silvester #silvester2024 #silvestervideo #pyro #pyrovideo https://t.co/ebecMoct8P,2025-01-08 11:53:06+00:00,0,0,de
schoeneswetterc,schoeneswettercom.de,,"Schlagzeilen 8 Januar 2025 - Grüne Träume - #Feuerwerk - Sind es jetzt schon 2 Millionen Befürworter für ein Böllerverbot!? Das wir ""unkontrollierbaren"" Migranten zu verdanken haben!? Hat das Ganze einen weiteren Hintergrund!? Hat man Angst vor ...
https://t.co/Iu6qwwX3cv",2025-01-08 07:35:31+00:00,0,2,de
MacChillB,Bahamas-Koalition,Berlin,"#Sozialismus will das der Staat alles regelt, kein individuelles Recht auf #Feuerwerk mehr, nur noch der Staat darf dann Feuerwerk machen. #SPD
SOZIALISMUS IST SCHEISSE
https://t.co/5tdEoBllWH",2025-01-08 06:18:17+00:00,0,0,de
