username,name,location,tweet_text,created_at,retweets,likes,language
MiGAZIN,MiGAZIN,Germany,"🔴 #Silvester-Randalen: Polizei soll #Vornamen an rechtes Medium durchgestochen haben

👉 Ausschreitungen und Böller-Exzesse in der Silvesternacht sorgen jedes Jahr für Diskussionen. Diesmal sorgt sie bei der #Polizei für Unruhe.

Hier lesen 🔗 https://t.co/HfuRH0vx7D",2025-01-09 20:00:00+00:00,0,1,de
M4xPeen,Max Pain,,Welten zwischen #Sylt und #Silvester! - Schlimmster Datenleak seit der Bekanntgabe der Vornamen vom Sylter Sängerverein. #Berlin #Migrantengewalt #Deutsche #Zensur https://t.co/Z4RPc9InYH,2025-01-09 19:50:58+00:00,0,1,de
gabonn,General-Anzeiger,Bonn,"Die Polizeigewerkschaft fordert mit einer #Petition ein bundesweites #Böllerverbot. Knapp 1,5 Millionen Menschen haben unterzeichnet. Für den Eitorfer Feuerwerkshersteller Weco hätte das Folgen. [GA+] #Feuerwerk #Silvester   https://t.co/ztgJPJwwSo",2025-01-09 18:46:16+00:00,0,0,de
endthesealhunt,End the Seal Hunt,Germany,please RT :EU-wide ban on the sale of pyrotechnics for private purposes #Silvester #Pets #Boellerverbot #wildlife #banfireworks #Asthma https://t.co/AogXG2vBJC,2025-01-09 18:38:11+00:00,0,0,en
PeterSchwarz11,𝐏𝐞𝐭𝐞𝐫 𝐒𝐜𝐡𝐰𝐚𝐫𝐳 🕊️ ✌,Beckingen/ Saar,"#Silvester  ist seit anderthalb Wochen vorbei – doch der politische Streit  zündet erst jetzt so richtig. In der Diskussion um ein #boellerverbot positioniert sich nun die #Berlin er #SPD, greift bei der Gelegenheit den  Regierenden Bürgermeister Kai #Wegner (52, #CDU ) an. https://t.co/cz7knXdALd",2025-01-09 18:01:57+00:00,0,1,de
bellarocca21,bellarocca2,berlin,"#silvester,
es knallt seit stunden,
ich male,
bin allein.

mezzanotte knips ich nach gegenüber,
es ist nicht viel zu sehen auf dem foto,
aber ich finde es stimmig https://t.co/soP1bAmZlz",2025-01-09 16:49:04+00:00,0,1,de
DemokratieTroll,demokratie-troll,,"@niusde_ Wir wissen jetzt dass zweidrittel der #Silvester-Kriminellen arabische oder türkische Namen haben. Freiwillig hätte die Polizei diese für unser #Einwanderungsland wichtige Erkenntnis über die #Gefahrenlage durch #Einwanderung nicht rausgerückt, um die Wirklichkeit zu vertuschen.",2025-01-09 15:20:26+00:00,0,0,de
Einfach_Ela_,Ela,,"„Einen besseren Beweis, dass die Liste der Vornamen echt ist und dass man es vor der Bevölkerung lieber verbergen wollte, dass die meisten ""deutschen"" Krawallmacher einen Migrationshintergrund haben, kann es gar nicht geben“. #Berlin #Silvester https://t.co/7DiQDI1d0c",2025-01-09 14:57:48+00:00,0,0,de
KappaAlphaPhi,KappaAlphaPhi,,"What really happened on #NewYear: #Islamist #terrorism at #Landungsbrücken - #Hamburg Port, #Germany. #Gunshots were fired. Children were crying.

#Silvester #Feuerwerk #Neujahr2025 #StPauli #Islam #Immigration #Moslem

https://t.co/X7E4GSjg8P",2025-01-09 14:56:33+00:00,0,0,en
Dollfuss_,Engelbert,Ofra ,"@JochenAndru1981 Ein Beamter mit Charakter und Anstand.
Meine Meinung.

P.S. Natürlich wussten wir alle das es sich nicht um ""Deutsche"" gehandelt hat. Aber wir sind dem #Whistleblower dankbar! 

#Berlin #Polizei #Araber #Silvester",2025-01-09 14:22:00+00:00,0,2,de
kainsider,ka-insider,"Karlsruhe, Deutschland","Ein Silvester, wie das vergangene, braucht niemand mehr."" #Böllerverbot #Silvester #Knaller https://t.co/D6thlTyYLw",2025-01-09 13:55:25+00:00,0,0,de
Herzblut16,Herzblut,,"Du suchst spannende Flirts oder den Partner fürs Leben? Dann bist Du bei #Flirt Hits genau richtig. Hier kannst du mit interessanten Leuten aus deiner Nähe Flirten, Quatschen oder Daten. Melde dich ♥ Schönen #Silvester &amp; GUTEN GELINGEN  in 2025  

&gt;&gt;https://t.co/Td676a0Qc7&lt;&lt;",2025-01-09 13:47:50+00:00,0,0,de
Peter_Ueck,Peter Ueck,Deutschland,"@nikschrader Thematisieren Sie lieber, warum es diese (nur) Vornamen sind! Halten Sie es zudem für ein „rechtes“ Vergehen? #Silvester #Migranten",2025-01-09 12:39:11+00:00,0,0,de
